"name","email","age","city"
"rohit","rohit@gmail.com",22,"hyderabad"
"anil","anil@gmail.com",25,"mumbai"
"sita","sita@gmail.com",23,"delhi"
"raj","raj@gmail.com",57,"bangalore"
"kiran","kiran@gmail.com",24,"chennai"
"neha","neha@gmail.com",26,"delhi"
"pooja","pooja@gmail.com",29,"hyderabad"
"arjun","arjun@gmail.com",35,"bangalore"
"vikram","anil@gmail.com",40,"mumbai"
"rahul","rahul@gmail.com",21,"delhi"
"sneha","sneha@gmail.com",23,"chennai"
"manish","manish@gmail.com",57,"hyderabad"
"deepak","deepak@gmail.com",28,"bangalore"
"priya","priya@gmail.com",26,"mumbai"
"kavya","kavya@gmail.com",24,"delhi"
"ramesh","ramesh@gmail.com",45,"chennai"
"sunil","sunil@gmail.com",38,"bangalore"
"meena","meena@gmail.com",27,"hyderabad"
"ajay","ajay@gmail.com",33,"mumbai"
"nikhil","nikhil@gmail.com",29,"chennai"
"harsha","harsha@gmail.com",22,"hyderabad"
"teja","teja@gmail.com",24,"mumbai"
"lokesh","lokesh@gmail.com",26,"delhi"
"gopi","gopi@gmail.com",28,"chennai"
"suresh","suresh@gmail.com",57,"bangalore"
"anusha","anusha@gmail.com",23,"hyderabad"
"chaitanya","chaitanya@gmail.com",25,"mumbai"
"sai","sai@gmail.com",27,"delhi"
"tarun","tarun@gmail.com",29,"chennai"
"karthik","karthik@gmail.com",33,"hyderabad"
"vamsi","vamsi@gmail.com",35,"mumbai"
"praveen","praveen@gmail.com",37,"delhi"
"madhu","madhu@gmail.com",39,"chennai"
"raghu","raghu@gmail.com",41,"bangalore"
"srikanth","srikanth@gmail.com",43,"hyderabad"
