name,email,age,city
Rohit,rohit@gmail.com,22,Hyderabad
Rohit ,rohit@gmail,22,Hyderabad
Rohit,rohit@gmail.com,150,Hyderabad
Anil,anil@gmail.com,25,Mumbai
Anil,anil@gmail.com,25,Mumbai
Sita,sita@gmail.com,23,Delhi
Sita ,sita@gmail,23,Delhi
Raj,raj@gmail.com,200,Bangalore
Raj,raj@gmail,28,Bangalore
Kiran,kiran@gmail.com,24,Chennai
Kiran,,24,Chennai
Amit,amit@gmail.com,27,Mumbai
Amit,amit@gmail,27,Mumbai
Neha,neha@gmail.com,26,Delhi
Neha ,neha@gmail,26,Delhi
Pooja,pooja@gmail.com,29,Hyderabad
Pooja,pooja@gmail,29,Hyderabad
Arjun,arjun@gmail.com,35,Bangalore
Arjun,arjun@gmail,35,Bangalore
Vikram,,40,Mumbai
Vikram,vikram@gmail,40,Mumbai
Rahul,rahul@gmail.com,21,Delhi
Rahul,rahul@gmail,21,Delhi
Sneha,sneha@gmail.com,23,Chennai
Sneha ,sneha@gmail,23,Chennai
Manish,manish@gmail.com,500,Hyderabad
Manish,manish@gmail,30,Hyderabad
Deepak,deepak@gmail.com,28,Bangalore
Deepak,deepak@gmail,28,Bangalore
Priya,priya@gmail.com,26,Mumbai
Priya,priya@gmail,26,Mumbai
Kavya,kavya@gmail.com,24,Delhi
Kavya,kavya@gmail,24,Delhi
Ramesh,ramesh@gmail.com,45,Chennai
Ramesh,ramesh@gmail,45,Chennai
Sunil,sunil@gmail.com,38,Bangalore
Sunil,sunil@gmail,38,Bangalore
Meena,meena@gmail.com,27,Hyderabad
Meena,meena@gmail,27,Hyderabad
Ajay,ajay@gmail.com,33,Mumbai
Ajay,ajay@gmail,33,Mumbai
Divya,divya@gmail.com,25,Delhi
Divya,divya@gmail,25,Delhi
Nikhil,nikhil@gmail.com,29,Chennai
Nikhil,nikhil@gmail,29,Chennai
Varun,varun@gmail.com,31,Bangalore
Varun,varun@gmail,31,Bangalore
Harsha,harsha@gmail.com,22,Hyderabad
Harsha,harsha@gmail,22,Hyderabad
Teja,teja@gmail.com,24,Mumbai
Teja,teja@gmail,24,Mumbai
Lokesh,lokesh@gmail.com,26,Delhi
Lokesh,lokesh@gmail,26,Delhi
Gopi,gopi@gmail.com,28,Chennai
Gopi,gopi@gmail,28,Chennai
Suresh,suresh@gmail.com,60,Bangalore
Suresh,suresh@gmail,60,Bangalore
Anusha,anusha@gmail.com,23,Hyderabad
Anusha,anusha@gmail,23,Hyderabad
Chaitanya,chaitanya@gmail.com,25,Mumbai
Chaitanya,chaitanya@gmail,25,Mumbai
Sai,sai@gmail.com,27,Delhi
Sai,sai@gmail,27,Delhi
Tarun,tarun@gmail.com,29,Chennai
Tarun,tarun@gmail,29,Chennai
Ravi,ravi@gmail.com,31,Bangalore
Ravi,ravi@gmail,31,Bangalore
Karthik,karthik@gmail.com,33,Hyderabad
Karthik,karthik@gmail,33,Hyderabad
Vamsi,vamsi@gmail.com,35,Mumbai
Vamsi,vamsi@gmail,35,Mumbai
Praveen,praveen@gmail.com,37,Delhi
Praveen,praveen@gmail,37,Delhi
Madhu,madhu@gmail.com,39,Chennai
Madhu,madhu@gmail,39,Chennai
Raghu,raghu@gmail.com,41,Bangalore
Raghu,raghu@gmail,41,Bangalore
Srikanth,srikanth@gmail.com,43,Hyderabad
Srikanth,srikanth@gmail,43,Hyderabad
